op_kind	source_path	target_unit	target_layer	target_path	result	note
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/134_ERP_RUNTIME_WRITE_PATH_EVIDENCE_CAPTURE_RULE.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/134_ERP_RUNTIME_WRITE_PATH_EVIDENCE_CAPTURE_RULE.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/135_ERP_RUNTIME_WRITE_PATH_EVIDENCE_LOG_TEMPLATE.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/135_ERP_RUNTIME_WRITE_PATH_EVIDENCE_LOG_TEMPLATE.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/136_ERP_RUNTIME_WRITE_PATH_TARGET_MATRIX.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/136_ERP_RUNTIME_WRITE_PATH_TARGET_MATRIX.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/137_ERP_RUNTIME_WRITE_PATH_FIRST_CAPTURE_PLAN.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/137_ERP_RUNTIME_WRITE_PATH_FIRST_CAPTURE_PLAN.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/138_ERP_HEADER_WRITE_EVIDENCE_CAPTURE_RULE.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/138_ERP_HEADER_WRITE_EVIDENCE_CAPTURE_RULE.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/139_ERP_HEADER_WRITE_EVIDENCE_LOG_TEMPLATE.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/139_ERP_HEADER_WRITE_EVIDENCE_LOG_TEMPLATE.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/140_ERP_HEADER_WRITE_TARGET_MATRIX.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/140_ERP_HEADER_WRITE_TARGET_MATRIX.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/141_ERP_HEADER_WRITE_FIRST_CAPTURE_PLAN.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/141_ERP_HEADER_WRITE_FIRST_CAPTURE_PLAN.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/142_ERP_SETTLEMENT_EVIDENCE_CAPTURE_RULE.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/142_ERP_SETTLEMENT_EVIDENCE_CAPTURE_RULE.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/143_ERP_AR_AP_EVIDENCE_CAPTURE_RULE.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/143_ERP_AR_AP_EVIDENCE_CAPTURE_RULE.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/144_ERP_SETTLEMENT_AND_AR_AP_EVIDENCE_LOG_TEMPLATE.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/144_ERP_SETTLEMENT_AND_AR_AP_EVIDENCE_LOG_TEMPLATE.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/145_ERP_SETTLEMENT_AND_AR_AP_FIRST_CAPTURE_PLAN.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/145_ERP_SETTLEMENT_AND_AR_AP_FIRST_CAPTURE_PLAN.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/146_ERP_APPROVAL_REQUEST_SUBFAMILY_EVIDENCE_CAPTURE_RULE.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/146_ERP_APPROVAL_REQUEST_SUBFAMILY_EVIDENCE_CAPTURE_RULE.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/147_ERP_APPROVAL_REQUEST_SUBFAMILY_EVIDENCE_LOG_TEMPLATE.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/147_ERP_APPROVAL_REQUEST_SUBFAMILY_EVIDENCE_LOG_TEMPLATE.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/148_ERP_APPROVAL_REQUEST_SUBFAMILY_TARGET_MATRIX.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/148_ERP_APPROVAL_REQUEST_SUBFAMILY_TARGET_MATRIX.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/149_ERP_APPROVAL_REQUEST_SUBFAMILY_FIRST_CAPTURE_PLAN.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/149_ERP_APPROVAL_REQUEST_SUBFAMILY_FIRST_CAPTURE_PLAN.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/150_ERP_EVIDENCE_CAPTURE_SET_INDEX.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/150_ERP_EVIDENCE_CAPTURE_SET_INDEX.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/151_ERP_EVIDENCE_CAPTURE_SET_OVERVIEW.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/151_ERP_EVIDENCE_CAPTURE_SET_OVERVIEW.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/152_DESIGN_MASTER_INDEX_EVIDENCE_CAPTURE_PATCH.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/152_DESIGN_MASTER_INDEX_EVIDENCE_CAPTURE_PATCH.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/153_ERP_SYSTEM_MASTER_INDEX_EVIDENCE_CAPTURE_PATCH.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/153_ERP_SYSTEM_MASTER_INDEX_EVIDENCE_CAPTURE_PATCH.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/154_ERP_EVIDENCE_CAPTURE_ROOT_NAVIGATION_RULE.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/154_ERP_EVIDENCE_CAPTURE_ROOT_NAVIGATION_RULE.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/155_ERP_RUNTIME_EVIDENCE_ACTUAL_RESULTS.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/155_ERP_RUNTIME_EVIDENCE_ACTUAL_RESULTS.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/156_ERP_HEADER_EVIDENCE_ACTUAL_RESULTS.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/156_ERP_HEADER_EVIDENCE_ACTUAL_RESULTS.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/157_ERP_RUNTIME_AND_HEADER_EVIDENCE_INTERPRETATION.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/157_ERP_RUNTIME_AND_HEADER_EVIDENCE_INTERPRETATION.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/158_ERP_PROVISIONAL_AUTHORITY_DECISIONS_HARDENED.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/158_ERP_PROVISIONAL_AUTHORITY_DECISIONS_HARDENED.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/159_ERP_EVIDENCE_CAPTURE_FIRST_PASS_SUMMARY.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/159_ERP_EVIDENCE_CAPTURE_FIRST_PASS_SUMMARY.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/160_ERP_PUBLIC_HEADER_STRUCTURE_EVIDENCE_RESULTS.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/160_ERP_PUBLIC_HEADER_STRUCTURE_EVIDENCE_RESULTS.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/161_ERP_PUBLIC_HEADER_MIRROR_JUDGMENT.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/161_ERP_PUBLIC_HEADER_MIRROR_JUDGMENT.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/162_ERP_PUBLIC_HEADER_ACTIVE_WRITE_RISK_REVIEW.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/162_ERP_PUBLIC_HEADER_ACTIVE_WRITE_RISK_REVIEW.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/163_ERP_PUBLIC_HEADER_FINAL_FIRST_PASS_SUMMARY.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/163_ERP_PUBLIC_HEADER_FINAL_FIRST_PASS_SUMMARY.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/164_ERP_SETTLEMENT_EVIDENCE_ACTUAL_RESULTS.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/164_ERP_SETTLEMENT_EVIDENCE_ACTUAL_RESULTS.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/165_ERP_AR_AP_EVIDENCE_ACTUAL_RESULTS.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/165_ERP_AR_AP_EVIDENCE_ACTUAL_RESULTS.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/166_ERP_SETTLEMENT_AND_AR_AP_EVIDENCE_INTERPRETATION.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/166_ERP_SETTLEMENT_AND_AR_AP_EVIDENCE_INTERPRETATION.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/167_ERP_SETTLEMENT_AND_AR_AP_FIRST_PASS_SUMMARY.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/167_ERP_SETTLEMENT_AND_AR_AP_FIRST_PASS_SUMMARY.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/168_ERP_APPROVAL_REQUEST_SUBFAMILY_EVIDENCE_ACTUAL_RESULTS.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/168_ERP_APPROVAL_REQUEST_SUBFAMILY_EVIDENCE_ACTUAL_RESULTS.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/169_ERP_APPROVAL_REQUEST_SUBFAMILY_EVIDENCE_INTERPRETATION.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/169_ERP_APPROVAL_REQUEST_SUBFAMILY_EVIDENCE_INTERPRETATION.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/170_ERP_APPROVAL_REQUEST_TRUE_AUTHORITY_CANDIDATE_REVIEW.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/170_ERP_APPROVAL_REQUEST_TRUE_AUTHORITY_CANDIDATE_REVIEW.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/171_ERP_APPROVAL_REQUEST_FIRST_PASS_SUMMARY.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/171_ERP_APPROVAL_REQUEST_FIRST_PASS_SUMMARY.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/172_ERP_AUTHORITY_REGISTRY_DRAFT_OVERVIEW.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/172_ERP_AUTHORITY_REGISTRY_DRAFT_OVERVIEW.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/173_ERP_AUTHORITY_REGISTRY_DRAFT_RUNTIME.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/173_ERP_AUTHORITY_REGISTRY_DRAFT_RUNTIME.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/174_ERP_AUTHORITY_REGISTRY_DRAFT_HEADERS.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/174_ERP_AUTHORITY_REGISTRY_DRAFT_HEADERS.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/175_ERP_AUTHORITY_REGISTRY_DRAFT_SETTLEMENT_AR_AP_APPROVAL.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/175_ERP_AUTHORITY_REGISTRY_DRAFT_SETTLEMENT_AR_AP_APPROVAL.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/176_ERP_AUTHORITY_REGISTRY_DRAFT_SUMMARY.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/176_ERP_AUTHORITY_REGISTRY_DRAFT_SUMMARY.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/177_ERP_AUTHORITY_REGISTRY_NAVIGATION_NOTE.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/177_ERP_AUTHORITY_REGISTRY_NAVIGATION_NOTE.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/178_ERP_AUTHORITY_REGISTRY_ROOT_PATCH.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/178_ERP_AUTHORITY_REGISTRY_ROOT_PATCH.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/179_DESIGN_MASTER_INDEX_AUTHORITY_REGISTRY_PATCH.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/179_DESIGN_MASTER_INDEX_AUTHORITY_REGISTRY_PATCH.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/180_ERP_SYSTEM_MASTER_INDEX_AUTHORITY_REGISTRY_PATCH.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/180_ERP_SYSTEM_MASTER_INDEX_AUTHORITY_REGISTRY_PATCH.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/181_ERP_AUTHORITY_REGISTRY_ROOT_NAVIGATION_RULE.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/181_ERP_AUTHORITY_REGISTRY_ROOT_NAVIGATION_RULE.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/182_ERP_FROZEN_AUTHORITY_CRITERIA.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/182_ERP_FROZEN_AUTHORITY_CRITERIA.md	redistributed	copied to module layer and archived source from foundation
redistribute	/data/data/com.termux/files/home/02.ERP-system/00.foundation/900.meta/913.module-redistribution-archive/20260422_202743/020.architecture/183_ERP_AUTHORITY_MATURITY_MODEL.md	30.accounting	020.architecture	/data/data/com.termux/files/home/02.ERP-system/30.accounting/020.architecture/183_ERP_AUTHORITY_MATURITY_MODEL.md	redistributed	copied to module layer and archived source from foundation
